Tree#,Groups,WScore
1,18_11_20_2_2-18_11_20_2_3,0.41699
1,10_G2_HG-18_11_20_3_1,0.950442
1,10_HALO_2B-18_11_20_3_1,0.842274
1,11_HALO_3B-18_11_20_3_1,0.838512
1,12_HALO_4B-18_11_20_3_1,0.838217
1,12_W_plus_3_G1-18_11_20_3_1,0.964625
1,13_HALO_5B-18_11_20_3_1,0.835095
1,13_W_plus_3_G11-18_11_20_3_1,0.938785
1,14_HALO_6B-18_11_20_3_1,0.824009
1,14_W_plus_3_H6-18_11_20_3_1,0.965975
1,15_HALO_7B-18_11_20_3_1,0.843366
1,16_HALO_8B-18_11_20_3_1,0.831226
1,17_HALO_1C-18_11_20_3_1,0.826417
1,17_S6_g11-18_11_20_3_1,0.960218
1,18_11_20_1_1-18_11_20_3_1,0.370946
1,18_11_20_1_2-18_11_20_3_1,0.492829
1,18_11_20_1_3-18_11_20_3_1,0.146305
1,18_11_20_2_1-18_11_20_3_1,0.150727
1,18_11_20_2_2-18_11_20_3_1,0.228232
1,18_11_20_2_3-18_11_20_3_1,0.393753
1,10_G2_HG-18_11_20_3_2,0.928616
1,10_HALO_2B-18_11_20_3_2,0.868761
1,11_HALO_3B-18_11_20_3_2,0.864312
1,12_HALO_4B-18_11_20_3_2,0.86457
1,12_W_plus_3_G1-18_11_20_3_2,0.928513
1,13_HALO_5B-18_11_20_3_2,0.85963
1,13_W_plus_3_G11-18_11_20_3_2,0.886279
1,14_HALO_6B-18_11_20_3_2,0.84967
1,14_W_plus_3_H6-18_11_20_3_2,0.941172
1,15_HALO_7B-18_11_20_3_2,0.86933
1,16_HALO_8B-18_11_20_3_2,0.856878
1,17_HALO_1C-18_11_20_3_2,0.850846
1,17_S6_g11-18_11_20_3_2,0.9089
1,18_11_20_1_1-18_11_20_3_2,0.394843
1,18_11_20_1_2-18_11_20_3_2,0.515089
1,18_11_20_1_3-18_11_20_3_2,0.663183
1,18_11_20_2_1-18_11_20_3_2,0.662867
1,18_11_20_2_2-18_11_20_3_2,0.537816
1,18_11_20_2_3-18_11_20_3_2,0.514875
1,18_11_20_3_1-18_11_20_3_2,0.62736
1,10_G2_HG-18_11_20_3_3,0.924259
1,10_HALO_2B-18_11_20_3_3,0.577134
1,11_HALO_3B-18_11_20_3_3,0.579885
1,12_HALO_4B-18_11_20_3_3,0.582566
1,12_W_plus_3_G1-18_11_20_3_3,0.940899
1,13_HALO_5B-18_11_20_3_3,0.570982
1,13_W_plus_3_G11-18_11_20_3_3,0.940164
1,14_HALO_6B-18_11_20_3_3,0.566691
1,14_W_plus_3_H6-18_11_20_3_3,0.937256
1,15_HALO_7B-18_11_20_3_3,0.570153
1,16_HALO_8B-18_11_20_3_3,0.596563
1,17_HALO_1C-18_11_20_3_3,0.557601
1,17_S6_g11-18_11_20_3_3,0.956259
1,18_11_20_1_1-18_11_20_3_3,0.383294
1,18_11_20_1_2-18_11_20_3_3,0.28267
1,18_11_20_1_3-18_11_20_3_3,0.419876
1,18_11_20_2_1-18_11_20_3_3,0.415357
1,18_11_20_2_2-18_11_20_3_3,0.3523
1,18_11_20_2_3-18_11_20_3_3,0.557233
1,18_11_20_3_1-18_11_20_3_3,0.43969
1,18_11_20_3_2-18_11_20_3_3,0.673777
1,10_G2_HG-18_HALO_2C,0.9349
1,10_HALO_2B-18_HALO_2C,0.068868
1,11_HALO_3B-18_HALO_2C,0.061781
1,12_HALO_4B-18_HALO_2C,0.05424
1,12_W_plus_3_G1-18_HALO_2C,0.958915
1,13_HALO_5B-18_HALO_2C,0.072645
1,13_W_plus_3_G11-18_HALO_2C,0.956184
1,14_HALO_6B-18_HALO_2C,0.086187
1,14_W_plus_3_H6-18_HALO_2C,0.937351
1,15_HALO_7B-18_HALO_2C,0.089779
1,16_HALO_8B-18_HALO_2C,0.080286
1,17_HALO_1C-18_HALO_2C,0.07056
1,17_S6_g11-18_HALO_2C,0.965042
1,18_11_20_1_1-18_HALO_2C,0.808816
1,18_11_20_1_2-18_HALO_2C,0.613926
1,18_11_20_1_3-18_HALO_2C,0.828059
1,18_11_20_2_1-18_HALO_2C,0.822447
1,18_11_20_2_2-18_HALO_2C,0.780694
1,18_11_20_2_3-18_HALO_2C,0.816171
1,18_11_20_3_1-18_HALO_2C,0.844175
1,18_11_20_3_2-18_HALO_2C,0.871028
1,18_11_20_3_3-18_HALO_2C,0.589924
1,10_G2_HG-18_S6_H6,0.399694
1,10_HALO_2B-18_S6_H6,0.926739
1,11_HALO_3B-18_S6_H6,0.932231
1,12_HALO_4B-18_S6_H6,0.933083
1,12_W_plus_3_G1-18_S6_H6,0.861623
1,13_HALO_5B-18_S6_H6,0.932804
1,13_W_plus_3_G11-18_S6_H6,0.764817
1,14_HALO_6B-18_S6_H6,0.931316
1,14_W_plus_3_H6-18_S6_H6,0.445991
1,15_HALO_7B-18_S6_H6,0.924608
1,16_HALO_8B-18_S6_H6,0.93863
1,17_HALO_1C-18_S6_H6,0.930792
1,17_S6_g11-18_S6_H6,0.745463
1,18_11_20_1_1-18_S6_H6,0.919002
1,18_11_20_1_2-18_S6_H6,0.914997
1,18_11_20_1_3-18_S6_H6,0.914785
1,18_11_20_2_1-18_S6_H6,0.913131
